EPISODE_ID,VOTE_KEY,USER_ID,CREATED,DB_UPDATE_TS,IS_DELETED,order,RATING_ID,set
7620098,7620098-22659137-3,22659137,2022-10-23 22:46:46 +0000 UTC,2022-10-23 22:46:46 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
9505051,9505051-22659137-3,22659137,2023-03-25 19:47:20 +0000 UTC,2023-03-25 19:47:20 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
8355786,8355786-22659137-3,22659137,2023-01-28 21:45:40 +0000 UTC,2023-01-28 21:45:40 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
9100823,9100823-22659137-3,22659137,2023-01-03 08:48:09 +0000 UTC,2023-01-03 08:48:09 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
9160491,9160491-22659137-3,22659137,2022-12-22 13:52:41 +0000 UTC,2022-12-22 13:52:42 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
8522047,8522047-22659137-3,22659137,2023-06-02 17:44:17 +0000 UTC,2023-06-02 17:44:18 +0000 UTC,1,"1,27,28,29,3",3,stars_wording_scalev2
7620097,7620097-22659137-3,22659137,2022-10-23 10:54:28 +0000 UTC,2022-10-23 10:54:28 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
9564638,9564638-22659137-29,22659137,2023-06-05 20:37:16 +0000 UTC,2023-06-05 20:37:16 +0000 UTC,0,"1,27,28,29,3",29,stars_wording_scalev2
7620104,7620104-22659137-3,22659137,2022-10-28 21:23:29 +0000 UTC,2022-10-28 21:23:29 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
8514936,8514936-22659137-27,22659137,2021-11-09 21:45:25 +0000 UTC,,0,"1,27,28,29,3",27,stars_wording_scalev2
6690283,6690283-22659137-3,22659137,2022-12-05 12:32:26 +0000 UTC,2022-12-05 12:32:26 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
9564626,9564626-22659137-3,22659137,2023-07-03 21:13:06 +0000 UTC,2023-07-03 21:13:06 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
7485560,7485560-22659137-29,22659137,2022-09-02 15:39:00 +0000 UTC,2022-09-02 15:39:00 +0000 UTC,0,"1,27,28,29,3",29,stars_wording_scalev2
9010225,9010225-22659137-3,22659137,2023-03-09 22:43:47 +0000 UTC,2023-03-09 22:43:47 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
8324652,8324652-22659137-3,22659137,2023-01-28 19:26:54 +0000 UTC,2023-01-28 19:26:54 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
6538598,6538598-22659137-29,22659137,2022-12-03 23:57:26 +0000 UTC,2022-12-03 23:57:26 +0000 UTC,0,"1,27,28,29,3",29,stars_wording_scalev2
7110137,7110137-22659137-3,22659137,2022-12-30 12:40:49 +0000 UTC,2022-12-30 12:40:49 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
9942689,9942689-22659137-28,22659137,2023-09-30 13:38:37 +0000 UTC,2023-09-30 13:38:37 +0000 UTC,0,"1,27,28,29,3",28,stars_wording_scalev2
9217099,9217099-22659137-29,22659137,2023-04-16 12:43:01 +0000 UTC,2023-04-16 12:43:01 +0000 UTC,0,"1,27,28,29,3",29,stars_wording_scalev2
6778619,6778619-22659137-3,22659137,2022-10-17 13:48:33 +0000 UTC,2022-10-17 13:48:33 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
9435215,9435215-22659137-3,22659137,2023-02-27 21:29:00 +0000 UTC,2023-02-27 21:29:00 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
9138254,9138254-22659137-3,22659137,2022-11-14 20:14:27 +0000 UTC,2022-11-14 20:14:27 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
9590369,9590369-22659137-28,22659137,2023-04-07 18:44:49 +0000 UTC,2023-04-07 18:44:49 +0000 UTC,0,"1,27,28,29,3",28,stars_wording_scalev2
9238603,9238603-22659137-29,22659137,2023-01-23 09:35:49 +0000 UTC,2023-01-23 09:35:50 +0000 UTC,1,"1,27,28,29,3",29,stars_wording_scalev2
8791893,8791893-22659137-3,22659137,2022-11-09 23:00:49 +0000 UTC,2022-11-09 23:00:49 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
9986638,9986638-22659137-3,22659137,2023-12-17 13:58:37 +0000 UTC,2023-12-17 13:58:37 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
9288833,9288833-22659137-3,22659137,2022-08-24 09:44:59 +0000 UTC,2022-08-24 09:44:59 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
9742979,9742979-22659137-3,22659137,2023-10-20 21:22:23 +0000 UTC,2023-10-20 21:22:23 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
9685346,9685346-22659137-3,22659137,2023-04-10 17:54:52 +0000 UTC,2023-04-12 19:57:54 +0000 UTC,1,"1,27,28,29,3",3,stars_wording_scalev2
7620102,7620102-22659137-3,22659137,2022-10-26 23:09:03 +0000 UTC,2022-10-26 23:09:03 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
9607720,9607720-22659137-3,22659137,2023-04-03 09:16:02 +0000 UTC,2023-04-03 09:16:02 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
6778620,6778620-22659137-3,22659137,2022-10-17 14:56:57 +0000 UTC,2022-10-17 14:56:58 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
10002429,10002429-22659137-3,22659137,2023-09-24 22:00:00 +0000 UTC,2023-09-24 22:00:00 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
9476218,9476218-22659137-3,22659137,2023-02-09 21:20:05 +0000 UTC,2023-02-09 21:20:05 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
9068877,9068877-22659137-29,22659137,2023-04-22 12:18:56 +0000 UTC,2023-04-22 12:18:56 +0000 UTC,0,"1,27,28,29,3",29,stars_wording_scalev2
9457880,9457880-22659137-29,22659137,2023-06-12 21:58:13 +0000 UTC,2023-06-12 21:58:18 +0000 UTC,1,"1,27,28,29,3",29,stars_wording_scalev2
7485560,7485560-22659137-28,22659137,2022-09-02 15:35:39 +0000 UTC,2022-09-02 15:39:00 +0000 UTC,1,"1,27,28,29,3",28,stars_wording_scalev2
9100820,9100820-22659137-3,22659137,2023-01-02 11:21:34 +0000 UTC,2023-01-02 11:21:34 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
7485564,7485564-22659137-29,22659137,2022-09-02 15:38:57 +0000 UTC,2022-09-02 15:38:57 +0000 UTC,0,"1,27,28,29,3",29,stars_wording_scalev2
9082152,9082152-22659137-3,22659137,2023-01-07 21:59:10 +0000 UTC,2023-01-07 21:59:10 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
9986636,9986636-22659137-3,22659137,2023-12-03 14:06:02 +0000 UTC,2023-12-03 14:06:02 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
9138258,9138258-22659137-3,22659137,2022-11-17 11:56:04 +0000 UTC,2022-11-17 11:56:04 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
9082148,9082148-22659137-3,22659137,2023-01-05 14:16:36 +0000 UTC,2023-01-05 14:16:36 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
9882277,9882277-22659137-29,22659137,2023-11-28 14:12:29 +0000 UTC,2023-11-28 14:12:29 +0000 UTC,0,"1,27,28,29,3",29,stars_wording_scalev2
6610101,6610101-22659137-3,22659137,2022-12-04 13:40:31 +0000 UTC,2022-12-04 13:40:31 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
9743653,9743653-22659137-29,22659137,2023-10-25 19:58:39 +0000 UTC,2023-10-25 19:58:56 +0000 UTC,1,"1,27,28,29,3",29,stars_wording_scalev2
9743653,9743653-22659137-3,22659137,2023-10-25 19:58:56 +0000 UTC,2023-10-25 19:58:56 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
9765175,9765175-22659137-29,22659137,2023-08-11 11:32:35 +0000 UTC,2023-08-11 11:32:36 +0000 UTC,1,"1,27,28,29,3",29,stars_wording_scalev2
9765177,9765177-22659137-28,22659137,2023-08-11 11:32:10 +0000 UTC,2023-08-11 12:22:52 +0000 UTC,1,"1,27,28,29,3",28,stars_wording_scalev2
9247265,9247265-22659137-28,22659137,2022-10-06 13:18:33 +0000 UTC,2022-10-06 13:18:33 +0000 UTC,0,"1,27,28,29,3",28,stars_wording_scalev2
9882280,9882280-22659137-3,22659137,2023-11-30 19:18:11 +0000 UTC,2023-11-30 19:18:11 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
9642554,9642554-22659137-29,22659137,2023-05-10 19:58:03 +0000 UTC,2023-05-10 19:58:05 +0000 UTC,1,"1,27,28,29,3",29,stars_wording_scalev2
9797406,9797406-22659137-29,22659137,2023-06-13 20:44:39 +0000 UTC,2023-06-13 20:44:39 +0000 UTC,0,"1,27,28,29,3",29,stars_wording_scalev2
7088256,7088256-22659137-3,22659137,2022-12-29 21:51:00 +0000 UTC,2022-12-29 21:51:00 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
9577092,9577092-22659137-3,22659137,2023-02-15 21:48:03 +0000 UTC,2023-02-15 21:48:03 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
9333705,9333705-22659137-29,22659137,2022-10-08 12:51:22 +0000 UTC,2022-10-08 12:51:22 +0000 UTC,0,"1,27,28,29,3",29,stars_wording_scalev2
9642554,9642554-22659137-3,22659137,2023-05-10 19:58:05 +0000 UTC,2023-05-10 19:58:05 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
9797411,9797411-22659137-3,22659137,2023-06-22 17:15:51 +0000 UTC,2023-06-22 17:15:51 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
1199791,1199791-22659137-29,22659137,2023-12-30 13:35:12 +0000 UTC,2023-12-30 13:35:12 +0000 UTC,0,"1,27,28,29,3",29,stars_wording_scalev2
660911,660911-22659137-3,22659137,2023-12-29 00:41:12 +0000 UTC,2023-12-29 00:41:12 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
9100822,9100822-22659137-3,22659137,2023-01-02 14:35:28 +0000 UTC,2023-01-02 14:35:29 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
9457880,9457880-22659137-28,22659137,2023-06-12 21:58:18 +0000 UTC,2023-06-12 21:58:18 +0000 UTC,0,"1,27,28,29,3",28,stars_wording_scalev2
9743656,9743656-22659137-3,22659137,2023-10-26 20:50:05 +0000 UTC,2023-10-26 20:50:05 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
10002431,10002431-22659137-3,22659137,2023-09-30 13:37:18 +0000 UTC,2023-09-30 13:37:18 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
6636942,6636942-22659137-3,22659137,2022-12-05 12:29:20 +0000 UTC,2022-12-05 12:29:21 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
9797405,9797405-22659137-29,22659137,2023-06-13 20:44:33 +0000 UTC,2023-06-13 20:44:33 +0000 UTC,0,"1,27,28,29,3",29,stars_wording_scalev2
9303194,9303194-22659137-29,22659137,2023-11-15 14:07:38 +0000 UTC,2023-11-15 14:07:39 +0000 UTC,1,"1,27,28,29,3",29,stars_wording_scalev2
9986635,9986635-22659137-3,22659137,2023-12-03 14:05:40 +0000 UTC,2023-12-03 14:05:40 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
6576176,6576176-22659137-3,22659137,2022-12-28 23:19:12 +0000 UTC,2022-12-28 23:19:13 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
9564629,9564629-22659137-3,22659137,2023-07-05 20:40:20 +0000 UTC,2023-07-05 20:40:20 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
5692428,5692428-22659137-3,22659137,2021-11-09 21:47:17 +0000 UTC,,0,"1,27,28,29,3",3,stars_wording_scalev2
9564625,9564625-22659137-3,22659137,2023-07-03 20:27:38 +0000 UTC,2023-07-03 20:27:39 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
10002433,10002433-22659137-3,22659137,2023-10-06 12:15:32 +0000 UTC,2023-10-06 12:15:32 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
9435218,9435218-22659137-3,22659137,2023-03-19 21:48:42 +0000 UTC,2023-03-19 21:48:42 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
8830735,8830735-22659137-3,22659137,2023-02-01 21:22:44 +0000 UTC,2023-02-01 21:22:45 +0000 UTC,1,"1,27,28,29,3",3,stars_wording_scalev2
7092410,7092410-22659137-27,22659137,2022-08-21 12:05:12 +0000 UTC,2022-08-21 12:05:12 +0000 UTC,0,"1,27,28,29,3",27,stars_wording_scalev2
9564639,9564639-22659137-3,22659137,2023-06-05 20:38:17 +0000 UTC,2023-06-05 20:38:17 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
6104952,6104952-22659137-3,22659137,2022-10-09 20:55:35 +0000 UTC,2022-10-09 20:55:36 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
