order,EPISODE_ID,CREATED,EMOTION_ID,USER_ID,IS_DELETED,DB_UPDATE_TS,VOTE_KEY,set
"28,29,30,31,32,33,34,35,36,37,38,39",9300505,2022-09-06 20:42:35 +0000 UTC,37,22659137,0,2022-09-06 20:42:35 +0000 UTC,9300505-22659137-37,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",8681177,2023-03-21 22:16:38 +0000 UTC,33,22659137,0,2023-03-21 22:16:38 +0000 UTC,8681177-22659137-33,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9505046,2023-03-21 23:04:35 +0000 UTC,28,22659137,0,2023-03-21 23:04:35 +0000 UTC,9505046-22659137-28,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",6610101,2022-12-04 13:40:41 +0000 UTC,28,22659137,0,2022-12-04 13:40:41 +0000 UTC,6610101-22659137-28,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9564626,2023-07-03 21:13:10 +0000 UTC,28,22659137,1,2023-07-03 21:13:14 +0000 UTC,9564626-22659137-28,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9564626,2023-07-03 21:13:15 +0000 UTC,34,22659137,0,2023-07-03 21:13:15 +0000 UTC,9564626-22659137-34,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9138254,2022-11-14 20:14:29 +0000 UTC,28,22659137,0,2022-11-14 20:14:30 +0000 UTC,9138254-22659137-28,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9010227,2023-03-10 23:34:55 +0000 UTC,30,22659137,0,2023-03-10 23:34:55 +0000 UTC,9010227-22659137-30,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",7620102,2022-10-26 23:09:06 +0000 UTC,30,22659137,0,2022-10-26 23:09:06 +0000 UTC,7620102-22659137-30,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9079005,2023-04-30 17:42:18 +0000 UTC,35,22659137,0,2023-04-30 17:42:18 +0000 UTC,9079005-22659137-35,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9577090,2023-02-11 12:34:06 +0000 UTC,28,22659137,0,2023-02-11 12:34:06 +0000 UTC,9577090-22659137-28,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9010229,2023-03-12 22:42:28 +0000 UTC,30,22659137,0,2023-03-12 22:42:28 +0000 UTC,9010229-22659137-30,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",5748834,2022-11-28 22:54:23 +0000 UTC,28,22659137,0,2022-11-28 22:54:23 +0000 UTC,5748834-22659137-28,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9010226,2023-03-10 22:42:32 +0000 UTC,37,22659137,0,2023-03-10 22:42:32 +0000 UTC,9010226-22659137-37,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9759689,2023-09-08 09:08:33 +0000 UTC,28,22659137,0,2023-09-08 09:08:33 +0000 UTC,9759689-22659137-28,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9082155,2023-01-11 23:54:20 +0000 UTC,30,22659137,0,2023-01-11 23:54:20 +0000 UTC,9082155-22659137-30,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9476219,2023-02-09 21:20:12 +0000 UTC,37,22659137,0,2023-02-09 21:20:12 +0000 UTC,9476219-22659137-37,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",6647385,2022-12-05 22:35:33 +0000 UTC,33,22659137,0,2022-12-05 22:35:33 +0000 UTC,6647385-22659137-33,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",6778626,2022-10-20 23:11:37 +0000 UTC,37,22659137,0,2022-10-20 23:11:37 +0000 UTC,6778626-22659137-37,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",6104952,2022-10-09 20:55:47 +0000 UTC,28,22659137,0,2022-10-09 20:55:47 +0000 UTC,6104952-22659137-28,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9706785,2023-04-18 21:30:11 +0000 UTC,33,22659137,0,2023-04-18 21:30:11 +0000 UTC,9706785-22659137-33,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",6678940,2022-12-15 09:27:43 +0000 UTC,28,22659137,0,2022-12-15 09:27:43 +0000 UTC,6678940-22659137-28,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",4919988,2022-10-25 20:22:40 +0000 UTC,28,22659137,0,2022-10-25 20:22:40 +0000 UTC,4919988-22659137-28,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9303195,2023-11-19 11:16:40 +0000 UTC,33,22659137,0,2023-11-19 11:16:40 +0000 UTC,9303195-22659137-33,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",8791891,2022-11-08 16:18:23 +0000 UTC,31,22659137,0,2022-11-08 16:18:23 +0000 UTC,8791891-22659137-31,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9288822,2022-08-22 22:21:27 +0000 UTC,29,22659137,0,2022-08-22 22:21:27 +0000 UTC,9288822-22659137-29,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9971637,2023-11-19 22:47:31 +0000 UTC,33,22659137,0,2023-11-19 22:47:31 +0000 UTC,9971637-22659137-33,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9685345,2023-04-10 17:54:33 +0000 UTC,37,22659137,0,2023-04-10 17:54:33 +0000 UTC,9685345-22659137-37,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9288823,2022-08-22 23:17:01 +0000 UTC,28,22659137,0,2022-08-22 23:17:01 +0000 UTC,9288823-22659137-28,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9138252,2022-11-13 22:16:29 +0000 UTC,37,22659137,0,2022-11-13 22:16:29 +0000 UTC,9138252-22659137-37,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9079008,2023-05-03 22:16:14 +0000 UTC,35,22659137,0,2023-05-03 22:16:14 +0000 UTC,9079008-22659137-35,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9607713,2023-03-26 22:23:55 +0000 UTC,37,22659137,0,2023-03-26 22:23:55 +0000 UTC,9607713-22659137-37,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",5755397,2022-12-02 20:25:59 +0000 UTC,28,22659137,0,2022-12-02 20:25:59 +0000 UTC,5755397-22659137-28,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9435218,2023-03-19 21:48:48 +0000 UTC,28,22659137,0,2023-03-19 21:48:48 +0000 UTC,9435218-22659137-28,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",6690283,2022-12-05 12:32:35 +0000 UTC,28,22659137,0,2022-12-05 12:32:35 +0000 UTC,6690283-22659137-28,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",7092410,2022-08-21 12:05:08 +0000 UTC,35,22659137,0,2022-08-21 12:05:08 +0000 UTC,7092410-22659137-35,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",6172297,2022-10-11 21:09:56 +0000 UTC,32,22659137,0,2022-10-11 21:09:56 +0000 UTC,6172297-22659137-32,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9706788,2023-04-19 21:47:35 +0000 UTC,33,22659137,0,2023-04-19 21:47:35 +0000 UTC,9706788-22659137-33,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",8324652,2023-01-28 19:27:00 +0000 UTC,28,22659137,0,2023-01-28 19:27:00 +0000 UTC,8324652-22659137-28,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",6172293,2022-10-10 12:35:26 +0000 UTC,33,22659137,0,2022-10-10 12:35:26 +0000 UTC,6172293-22659137-33,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9303194,2023-11-15 14:07:40 +0000 UTC,33,22659137,0,2023-11-15 14:07:40 +0000 UTC,9303194-22659137-33,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9607719,2023-03-29 21:27:14 +0000 UTC,28,22659137,0,2023-03-29 21:27:14 +0000 UTC,9607719-22659137-28,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9303193,2023-11-15 14:08:12 +0000 UTC,33,22659137,0,2023-11-15 14:08:12 +0000 UTC,9303193-22659137-33,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9303192,2023-11-15 14:09:09 +0000 UTC,39,22659137,0,2023-11-15 14:09:09 +0000 UTC,9303192-22659137-39,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9765173,2023-07-22 13:59:41 +0000 UTC,32,22659137,0,2023-07-22 13:59:41 +0000 UTC,9765173-22659137-32,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9607718,2023-03-28 20:51:16 +0000 UTC,30,22659137,0,2023-03-28 20:51:16 +0000 UTC,9607718-22659137-30,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",10002432,2023-10-01 20:20:19 +0000 UTC,37,22659137,0,2023-10-01 20:20:19 +0000 UTC,10002432-22659137-37,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",1084211,2023-12-29 22:16:12 +0000 UTC,33,22659137,0,2023-12-29 22:16:12 +0000 UTC,1084211-22659137-33,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",7579000,2022-12-18 10:38:29 +0000 UTC,28,22659137,0,2022-12-18 10:38:29 +0000 UTC,7579000-22659137-28,12_all
