episode_id,created_at,fb_action_id,user_id,tv_show_name,episode_season_number,episode_number,rewatched_count
55625,2018-08-11 03:39:56,,22659137,The Simpsons,8,20,0
55626,2018-08-11 03:39:56,,22659137,The Simpsons,8,21,0
55627,2018-08-11 03:39:56,,22659137,The Simpsons,8,22,0
55628,2018-08-11 03:39:56,,22659137,The Simpsons,8,23,0
55629,2018-08-11 03:39:56,,22659137,The Simpsons,8,24,0
55630,2018-08-11 03:39:56,,22659137,The Simpsons,8,25,0
55631,2018-08-11 03:39:56,,22659137,The Simpsons,9,1,0
55632,2018-08-11 03:39:56,,22659137,The Simpsons,9,2,0
55633,2018-08-11 03:39:56,,22659137,The Simpsons,9,3,0
55634,2018-08-11 03:39:56,,22659137,The Simpsons,9,4,0
55635,2018-08-11 03:39:56,,22659137,The Simpsons,9,5,0
55636,2018-08-11 03:39:56,,22659137,The Simpsons,9,6,0
55637,2018-08-11 03:39:56,,22659137,The Simpsons,9,7,0
55638,2018-08-11 03:39:56,,22659137,The Simpsons,9,8,0
55639,2018-08-11 03:39:56,,22659137,The Simpsons,9,9,0
55640,2018-08-11 03:39:56,,22659137,The Simpsons,9,10,0
55641,2018-08-11 03:39:56,,22659137,The Simpsons,9,11,0
55642,2018-08-11 03:39:56,,22659137,The Simpsons,9,12,0
55643,2018-08-11 03:39:56,,22659137,The Simpsons,9,13,0
55644,2018-08-11 03:39:56,,22659137,The Simpsons,9,14,0
55645,2018-08-11 03:39:56,,22659137,The Simpsons,9,15,0
55646,2018-08-11 03:39:56,,22659137,The Simpsons,9,16,0
55647,2018-08-11 03:39:56,,22659137,The Simpsons,9,17,0
55648,2018-08-11 03:39:56,,22659137,The Simpsons,9,18,0
55649,2018-08-11 03:39:56,,22659137,The Simpsons,9,19,0
55650,2018-08-11 03:39:56,,22659137,The Simpsons,9,20,0
55651,2018-08-11 03:39:56,,22659137,The Simpsons,9,21,0
55652,2018-08-11 03:39:56,,22659137,The Simpsons,9,22,0
55653,2018-08-11 03:39:56,,22659137,The Simpsons,9,23,0
55654,2018-08-11 03:39:56,,22659137,The Simpsons,9,24,0
55655,2018-08-11 03:39:56,,22659137,The Simpsons,9,25,0
55656,2018-08-11 03:39:56,,22659137,The Simpsons,10,1,0
55657,2018-08-11 03:39:56,,22659137,The Simpsons,10,2,0
55658,2018-08-11 03:39:56,,22659137,The Simpsons,10,3,0
55659,2018-08-11 03:39:56,,22659137,The Simpsons,10,4,0
55660,2018-08-11 03:39:56,,22659137,The Simpsons,10,5,0
55661,2018-08-11 03:39:56,,22659137,The Simpsons,10,6,0
55662,2018-08-11 03:39:56,,22659137,The Simpsons,10,7,0
55663,2018-08-11 03:39:56,,22659137,The Simpsons,10,8,0
55664,2018-08-11 03:39:56,,22659137,The Simpsons,10,9,0
55665,2018-08-11 03:39:56,,22659137,The Simpsons,10,10,0
55666,2018-08-11 03:39:56,,22659137,The Simpsons,10,11,0
55667,2018-08-11 03:39:56,,22659137,The Simpsons,10,12,0
55668,2018-08-11 03:39:56,,22659137,The Simpsons,10,13,0
55669,2018-08-11 03:39:56,,22659137,The Simpsons,10,14,0
55670,2018-08-11 03:39:56,,22659137,The Simpsons,10,15,0
55671,2018-08-11 03:39:56,,22659137,The Simpsons,10,16,0
55672,2018-08-11 03:39:56,,22659137,The Simpsons,10,17,0
55673,2018-08-11 03:39:56,,22659137,The Simpsons,10,18,0
55674,2018-08-11 03:39:56,,22659137,The Simpsons,10,19,0
55675,2018-08-11 03:39:56,,22659137,The Simpsons,10,20,0
55676,2018-08-11 03:39:56,,22659137,The Simpsons,10,21,0
55677,2018-08-11 03:39:56,,22659137,The Simpsons,10,22,0
55678,2018-08-11 03:39:56,,22659137,The Simpsons,10,23,0
55679,2018-08-11 03:39:56,,22659137,The Simpsons,11,1,0
55680,2018-08-11 03:39:56,,22659137,The Simpsons,11,2,0
55681,2018-08-11 03:39:56,,22659137,The Simpsons,11,3,0
55682,2018-08-11 03:39:56,,22659137,The Simpsons,11,4,0
55683,2018-08-11 03:39:56,,22659137,The Simpsons,11,5,0
55684,2018-08-11 03:39:56,,22659137,The Simpsons,11,6,0
55685,2018-08-11 03:39:56,,22659137,The Simpsons,11,7,0
55686,2018-08-11 03:39:56,,22659137,The Simpsons,11,8,0
55687,2018-08-11 03:39:56,,22659137,The Simpsons,11,9,0
55688,2018-08-11 03:39:56,,22659137,The Simpsons,11,10,0
55689,2018-08-11 03:39:56,,22659137,The Simpsons,11,11,0
55690,2018-08-11 03:39:56,,22659137,The Simpsons,11,12,0
55691,2018-08-11 03:39:56,,22659137,The Simpsons,11,13,0
55692,2018-08-11 03:39:56,,22659137,The Simpsons,11,14,0
55693,2018-08-11 03:39:56,,22659137,The Simpsons,11,15,0
55694,2018-08-11 03:39:56,,22659137,The Simpsons,11,16,0
55695,2018-08-11 03:39:56,,22659137,The Simpsons,11,17,0
55696,2018-08-11 03:39:56,,22659137,The Simpsons,11,18,0
55697,2018-08-11 03:39:56,,22659137,The Simpsons,11,19,0
55698,2018-08-11 03:39:56,,22659137,The Simpsons,11,20,0
55699,2018-08-11 03:39:56,,22659137,The Simpsons,11,21,0
55700,2018-08-11 03:39:56,,22659137,The Simpsons,11,22,0
55701,2018-08-11 03:39:57,,22659137,The Simpsons,12,1,0
55702,2018-08-11 03:39:57,,22659137,The Simpsons,12,2,0
55703,2018-08-11 03:39:57,,22659137,The Simpsons,12,3,0
55704,2018-08-11 03:39:57,,22659137,The Simpsons,12,4,0
55705,2018-08-11 03:39:57,,22659137,The Simpsons,12,5,0
55706,2018-08-11 03:39:57,,22659137,The Simpsons,12,6,0
55707,2018-08-11 03:39:57,,22659137,The Simpsons,12,7,0
55708,2018-08-11 03:39:57,,22659137,The Simpsons,12,8,0
55709,2018-08-11 03:39:57,,22659137,The Simpsons,12,9,0
55710,2018-08-11 03:39:57,,22659137,The Simpsons,12,10,0
55711,2018-08-11 03:39:57,,22659137,The Simpsons,12,11,0
55712,2018-08-11 03:39:57,,22659137,The Simpsons,12,12,0
55713,2018-08-11 03:39:57,,22659137,The Simpsons,12,13,0
55714,2018-08-11 03:39:57,,22659137,The Simpsons,12,14,0
55715,2018-08-11 03:39:57,,22659137,The Simpsons,12,15,0
55716,2018-08-11 03:39:57,,22659137,The Simpsons,12,16,0
55717,2018-08-11 03:39:57,,22659137,The Simpsons,12,17,0
55718,2018-08-11 03:39:57,,22659137,The Simpsons,12,18,0
55719,2018-08-11 03:39:57,,22659137,The Simpsons,12,19,0
55720,2018-08-11 03:39:57,,22659137,The Simpsons,12,20,0
55721,2018-08-11 03:39:57,,22659137,The Simpsons,12,21,0
55722,2018-08-11 03:39:57,,22659137,The Simpsons,13,1,0
55723,2018-08-11 03:39:57,,22659137,The Simpsons,13,2,0
55724,2018-08-11 03:39:57,,22659137,The Simpsons,13,3,0
55725,2018-08-11 03:39:57,,22659137,The Simpsons,13,4,0
55726,2018-08-11 03:39:57,,22659137,The Simpsons,13,5,0
55727,2018-08-11 03:39:57,,22659137,The Simpsons,13,6,0
55729,2018-08-11 03:39:57,,22659137,The Simpsons,13,8,0
55730,2018-08-11 03:39:57,,22659137,The Simpsons,13,9,0
55731,2018-08-11 03:39:57,,22659137,The Simpsons,13,10,0
55732,2018-08-11 03:39:57,,22659137,The Simpsons,13,11,0
55733,2018-08-11 03:39:57,,22659137,The Simpsons,13,12,0
55734,2018-08-11 03:39:57,,22659137,The Simpsons,13,13,0
55735,2018-08-11 03:39:57,,22659137,The Simpsons,13,14,0
55736,2018-08-11 03:39:57,,22659137,The Simpsons,13,15,0
55737,2018-08-11 03:39:57,,22659137,The Simpsons,13,16,0
55738,2018-08-11 03:39:57,,22659137,The Simpsons,13,17,0
55739,2018-08-11 03:39:57,,22659137,The Simpsons,13,18,0
55740,2018-08-11 03:39:57,,22659137,The Simpsons,13,19,0
55741,2018-08-11 03:39:57,,22659137,The Simpsons,13,20,0
55742,2018-08-11 03:39:57,,22659137,The Simpsons,13,21,0
55743,2018-08-11 03:39:57,,22659137,The Simpsons,13,22,0
55744,2018-08-11 03:39:57,,22659137,The Simpsons,14,1,0
55745,2018-08-11 03:39:57,,22659137,The Simpsons,14,2,0
55746,2018-08-11 03:39:57,,22659137,The Simpsons,14,3,0
55747,2018-08-11 03:39:57,,22659137,The Simpsons,14,4,0
55748,2018-08-11 03:39:57,,22659137,The Simpsons,14,5,0
55749,2018-08-11 03:39:57,,22659137,The Simpsons,14,6,0
55750,2018-08-11 03:39:57,,22659137,The Simpsons,14,7,0
55751,2018-08-11 03:39:57,,22659137,The Simpsons,14,8,0
55752,2018-08-11 03:39:57,,22659137,The Simpsons,14,9,0
55753,2018-08-11 03:39:57,,22659137,The Simpsons,14,10,0
55754,2018-08-11 03:39:57,,22659137,The Simpsons,14,11,0
55755,2018-08-11 03:39:57,,22659137,The Simpsons,14,12,0
55756,2018-08-11 03:39:57,,22659137,The Simpsons,14,13,0
55757,2018-08-11 03:39:57,,22659137,The Simpsons,14,14,0
55758,2018-08-11 03:39:57,,22659137,The Simpsons,14,15,0
55759,2018-08-11 03:39:57,,22659137,The Simpsons,14,16,0
55760,2018-08-11 03:39:57,,22659137,The Simpsons,14,17,0
55761,2018-08-11 03:39:57,,22659137,The Simpsons,14,18,0
55762,2018-08-11 03:39:57,,22659137,The Simpsons,14,19,0
55763,2018-08-11 03:39:57,,22659137,The Simpsons,14,20,0
55764,2018-08-11 03:39:57,,22659137,The Simpsons,14,21,0
55765,2018-08-11 03:39:57,,22659137,The Simpsons,14,22,0
55766,2018-08-11 03:39:57,,22659137,The Simpsons,15,1,0
55767,2018-08-11 03:39:57,,22659137,The Simpsons,15,2,0
55768,2018-08-11 03:39:57,,22659137,The Simpsons,15,3,0
55769,2018-08-11 03:39:57,,22659137,The Simpsons,15,4,0
55770,2018-08-11 03:39:57,,22659137,The Simpsons,15,5,0
55771,2018-08-11 03:39:57,,22659137,The Simpsons,15,6,0
55772,2018-08-11 03:39:57,,22659137,The Simpsons,15,7,0
55773,2018-08-11 03:39:57,,22659137,The Simpsons,15,8,0
55774,2018-08-11 03:39:57,,22659137,The Simpsons,15,9,0
55775,2018-08-11 03:39:57,,22659137,The Simpsons,15,10,0
55776,2018-08-11 03:39:57,,22659137,The Simpsons,15,11,0
55777,2018-08-11 03:39:57,,22659137,The Simpsons,15,12,0
55778,2018-08-11 03:39:57,,22659137,The Simpsons,15,13,0
55779,2018-08-11 03:39:57,,22659137,The Simpsons,15,14,0
55780,2018-08-11 03:39:57,,22659137,The Simpsons,15,15,0
55781,2018-08-11 03:39:57,,22659137,The Simpsons,15,16,0
55782,2018-08-11 03:39:57,,22659137,The Simpsons,15,17,0
55783,2018-08-11 03:39:57,,22659137,The Simpsons,15,18,0
55784,2018-08-11 03:39:57,,22659137,The Simpsons,15,19,0
55785,2018-08-11 03:39:57,,22659137,The Simpsons,15,20,0
55786,2018-08-11 03:39:57,,22659137,The Simpsons,15,21,0
55787,2018-08-11 03:39:57,,22659137,The Simpsons,15,22,0
55788,2018-08-11 03:39:57,,22659137,The Simpsons,16,1,0
55789,2018-08-11 03:39:57,,22659137,The Simpsons,16,2,0
55790,2018-08-11 03:39:57,,22659137,The Simpsons,16,3,0
55791,2018-08-11 03:39:57,,22659137,The Simpsons,16,4,0
55792,2018-08-11 03:39:57,,22659137,The Simpsons,16,5,0
55793,2018-08-11 03:39:57,,22659137,The Simpsons,16,6,0
55794,2018-08-11 03:39:57,,22659137,The Simpsons,16,7,0
55795,2018-08-11 03:39:57,,22659137,The Simpsons,16,8,0
55796,2018-08-11 03:39:57,,22659137,The Simpsons,16,9,0
55797,2018-08-11 03:39:57,,22659137,The Simpsons,16,10,0
55798,2018-08-11 03:39:57,,22659137,The Simpsons,16,11,0
55799,2018-08-11 03:39:57,,22659137,The Simpsons,16,12,0
55800,2018-08-11 03:39:57,,22659137,The Simpsons,16,13,0
55801,2018-08-11 03:39:57,,22659137,The Simpsons,16,14,0
55802,2018-08-11 03:39:57,,22659137,The Simpsons,16,15,0
55803,2018-08-11 03:39:57,,22659137,The Simpsons,16,16,0
55804,2018-08-11 03:39:57,,22659137,The Simpsons,16,17,0
55805,2018-08-11 03:39:57,,22659137,The Simpsons,16,18,0
55806,2018-08-11 03:39:57,,22659137,The Simpsons,16,19,0
55807,2018-08-11 03:39:57,,22659137,The Simpsons,16,20,0
55808,2018-08-11 03:39:57,,22659137,The Simpsons,16,21,0
108299,2018-08-11 03:39:58,,22659137,American Dad!,1,1,0
108300,2018-08-11 03:39:58,,22659137,American Dad!,1,2,0
108301,2018-08-11 03:39:58,,22659137,American Dad!,1,3,0
108302,2018-08-11 03:39:58,,22659137,American Dad!,1,4,0
108303,2018-08-11 03:39:58,,22659137,American Dad!,1,5,0
108304,2018-08-11 03:39:58,,22659137,American Dad!,1,6,0
108305,2018-08-11 03:39:58,,22659137,American Dad!,1,7,0
110413,2020-12-19 23:16:47,,22659137,The Office (US),1,1,0
110414,2020-12-19 23:16:47,,22659137,The Office (US),1,2,0
110415,2020-12-19 23:16:47,,22659137,The Office (US),1,3,0
110416,2020-12-19 23:16:47,,22659137,The Office (US),1,4,0
110417,2020-12-19 23:16:47,,22659137,The Office (US),1,5,0
110418,2020-12-19 23:16:47,,22659137,The Office (US),1,6,0
179540,2018-08-11 03:39:58,,22659137,South Park,1,1,0
179541,2018-08-11 03:39:58,,22659137,South Park,1,2,0
179542,2018-08-11 03:39:58,,22659137,South Park,1,3,0
179543,2018-08-11 03:39:58,,22659137,South Park,1,4,0
179544,2018-08-11 03:39:58,,22659137,South Park,1,5,0
179545,2018-08-11 03:39:58,,22659137,South Park,1,6,0
179546,2018-08-11 03:39:58,,22659137,South Park,1,7,0
179547,2018-08-11 03:39:58,,22659137,South Park,1,8,0
179548,2018-08-11 03:39:58,,22659137,South Park,1,9,0
179549,2018-08-11 03:39:58,,22659137,South Park,1,10,0
179550,2018-08-11 03:39:58,,22659137,South Park,1,11,0
179551,2018-08-11 03:39:58,,22659137,South Park,1,12,0
179552,2018-08-11 03:39:58,,22659137,South Park,1,13,0
179553,2018-08-11 03:39:58,,22659137,South Park,2,1,0
179554,2018-08-11 03:39:58,,22659137,South Park,2,2,0
179555,2018-08-11 03:39:58,,22659137,South Park,2,3,0
179556,2018-08-11 03:39:58,,22659137,South Park,2,4,0
179557,2018-08-11 03:39:58,,22659137,South Park,2,5,0
179558,2018-08-11 03:39:58,,22659137,South Park,2,6,0
179559,2018-08-11 03:39:58,,22659137,South Park,2,7,0
179560,2018-08-11 03:39:58,,22659137,South Park,2,8,0
179561,2018-08-11 03:39:58,,22659137,South Park,2,9,0
179562,2018-08-11 03:39:58,,22659137,South Park,2,10,0
179563,2018-08-11 03:39:58,,22659137,South Park,2,11,0
179564,2018-08-11 03:39:58,,22659137,South Park,2,12,0
179565,2018-08-11 03:39:58,,22659137,South Park,2,13,0
179566,2018-08-11 03:39:58,,22659137,South Park,2,14,0
179567,2018-08-11 03:39:58,,22659137,South Park,2,15,0
179568,2018-08-11 03:39:58,,22659137,South Park,2,16,0
179569,2018-08-11 03:39:58,,22659137,South Park,2,17,0
179570,2018-08-11 03:39:58,,22659137,South Park,2,18,0
179571,2018-08-11 03:39:58,,22659137,South Park,3,2,0
179572,2018-08-11 03:39:58,,22659137,South Park,3,3,0
179573,2018-08-11 03:39:58,,22659137,South Park,3,5,0
179574,2018-08-11 03:39:58,,22659137,South Park,3,4,0
179575,2018-08-11 03:39:58,,22659137,South Park,3,6,0
179576,2018-08-11 03:39:58,,22659137,South Park,3,7,0
179577,2018-08-11 03:39:58,,22659137,South Park,3,8,0
179578,2018-08-11 03:39:58,,22659137,South Park,3,9,0
179579,2018-08-11 03:39:58,,22659137,South Park,3,12,0
