episode_id,emotion_id,user_id,created
9082148,37,22659137,2023-01-05 14:16:38 +0000 UTC
6678437,30,22659137,2022-12-06 13:16:25 +0000 UTC
9138254,37,22659137,2022-11-14 20:14:31 +0000 UTC
9160489,28,22659137,2022-12-22 10:57:15 +0000 UTC
6576173,37,22659137,2022-12-28 16:14:17 +0000 UTC
8371186,32,22659137,2023-01-28 23:06:16 +0000 UTC
9082152,28,22659137,2023-01-07 21:59:12 +0000 UTC
9685349,28,22659137,2023-04-12 19:56:49 +0000 UTC
9082153,32,22659137,2023-01-08 21:57:50 +0000 UTC
9435218,29,22659137,2023-03-19 21:48:46 +0000 UTC
9303189,32,22659137,2023-11-18 13:23:01 +0000 UTC
9986631,33,22659137,2023-12-03 14:05:29 +0000 UTC
9797408,32,22659137,2023-06-16 13:46:32 +0000 UTC
9457880,33,22659137,2023-06-12 21:58:21 +0000 UTC
8791888,28,22659137,2022-10-31 13:33:28 +0000 UTC
5748838,37,22659137,2022-11-30 00:14:15 +0000 UTC
9685345,36,22659137,2023-04-10 17:54:31 +0000 UTC
9300512,37,22659137,2022-09-10 10:30:03 +0000 UTC
8868129,30,22659137,2022-11-23 10:00:00 +0000 UTC
9765177,33,22659137,2023-08-11 12:22:54 +0000 UTC
6778614,35,22659137,2022-10-16 22:46:34 +0000 UTC
9931635,33,22659137,2023-09-07 11:10:13 +0000 UTC
9743653,29,22659137,2023-10-25 19:58:44 +0000 UTC
9247268,28,22659137,2022-10-07 12:56:34 +0000 UTC
6778620,30,22659137,2022-10-17 14:57:04 +0000 UTC
6636942,28,22659137,2022-12-05 12:29:22 +0000 UTC
5765514,37,22659137,2022-12-03 22:43:56 +0000 UTC
9577092,37,22659137,2023-02-15 21:48:09 +0000 UTC
9986636,28,22659137,2023-12-03 14:06:04 +0000 UTC
9882275,32,22659137,2023-11-22 12:47:28 +0000 UTC
9577094,37,22659137,2023-02-17 23:30:02 +0000 UTC
4919989,32,22659137,2022-10-27 19:31:27 +0000 UTC
9687833,30,22659137,2023-04-13 19:52:52 +0000 UTC
6172297,28,22659137,2022-10-11 21:09:59 +0000 UTC
9160488,39,22659137,2022-12-21 23:03:04 +0000 UTC
9238599,31,22659137,2023-01-19 13:28:02 +0000 UTC
9082151,28,22659137,2023-01-06 23:37:39 +0000 UTC
9882278,29,22659137,2023-11-28 14:13:09 +0000 UTC
5001793,33,22659137,2022-10-27 20:47:27 +0000 UTC
6893990,19,22659137,2019-06-23 09:39:08 +0000 UTC
6778622,30,22659137,2022-10-18 21:21:50 +0000 UTC
8324651,28,22659137,2023-01-26 21:19:04 +0000 UTC
6778625,30,22659137,2022-10-20 13:31:50 +0000 UTC
9247268,37,22659137,2022-10-07 12:56:37 +0000 UTC
9476216,35,22659137,2023-02-06 13:31:04 +0000 UTC
9010223,31,22659137,2023-03-08 12:31:32 +0000 UTC
9010222,28,22659137,2023-03-07 23:02:38 +0000 UTC
